year,mun_code,mun_name,cases,date
2014,355030,São Paulo,21.0,2014-01-08
2014,230440,Fortaleza,30.0,2014-01-08
2014,310620,Belo Horizonte,31.0,2014-01-08
2014,310620,Belo Horizonte,61.0,2014-01-15
2014,230440,Fortaleza,24.0,2014-01-15
2014,355030,São Paulo,35.0,2014-01-15
2014,310620,Belo Horizonte,44.0,2014-01-22
2014,355030,São Paulo,59.0,2014-01-22
2014,230440,Fortaleza,39.0,2014-01-22
2014,355030,São Paulo,58.0,2014-01-29
2014,230440,Fortaleza,51.0,2014-01-29
2014,310620,Belo Horizonte,52.0,2014-01-29
2014,355030,São Paulo,100.0,2014-02-05
2014,230440,Fortaleza,61.0,2014-02-05
2014,310620,Belo Horizonte,78.0,2014-02-05
2014,310620,Belo Horizonte,97.0,2014-02-12
2014,230440,Fortaleza,53.0,2014-02-12
2014,355030,São Paulo,101.0,2014-02-12
2014,355030,São Paulo,227.0,2014-02-19
2014,230440,Fortaleza,68.0,2014-02-19
2014,310620,Belo Horizonte,110.0,2014-02-19
2014,310620,Belo Horizonte,126.0,2014-02-26
2014,355030,São Paulo,301.0,2014-02-26
2014,230440,Fortaleza,62.0,2014-02-26
2014,310620,Belo Horizonte,106.0,2014-03-05
2014,230440,Fortaleza,51.0,2014-03-05
2014,355030,São Paulo,379.0,2014-03-05
2014,355030,São Paulo,615.0,2014-03-12
2014,230440,Fortaleza,55.0,2014-03-12
2014,310620,Belo Horizonte,109.0,2014-03-12
2014,355030,São Paulo,846.0,2014-03-19
2014,230440,Fortaleza,44.0,2014-03-19
2014,310620,Belo Horizonte,181.0,2014-03-19
2014,310620,Belo Horizonte,189.0,2014-03-26
2014,230440,Fortaleza,80.0,2014-03-26
2014,355030,São Paulo,1385.0,2014-03-26
2014,355030,São Paulo,2178.0,2014-04-02
2014,230440,Fortaleza,62.0,2014-04-02
2014,310620,Belo Horizonte,170.0,2014-04-02
2014,355030,São Paulo,2671.0,2014-04-09
2014,230440,Fortaleza,137.0,2014-04-09
2014,310620,Belo Horizonte,205.0,2014-04-09
2014,355030,São Paulo,3657.0,2014-04-16
