mun_code,mun_name,date,cases,cases_lag1,cases_lag2,cases_lag3,cases_lag4,cases_lag5,cases_lag6,cases_lag7,cases_lag8,cases_lag9
310620,Belo Horizonte,2014-03-12,109.0,106.0,126.0,110.0,97.0,78.0,52.0,44.0,61.0,31.0
230440,Fortaleza,2014-03-12,55.0,51.0,62.0,68.0,53.0,61.0,51.0,39.0,24.0,30.0
355030,São Paulo,2014-03-12,615.0,379.0,301.0,227.0,101.0,100.0,58.0,59.0,35.0,21.0
355030,São Paulo,2014-03-19,846.0,615.0,379.0,301.0,227.0,101.0,100.0,58.0,59.0,35.0
230440,Fortaleza,2014-03-19,44.0,55.0,51.0,62.0,68.0,53.0,61.0,51.0,39.0,24.0
310620,Belo Horizonte,2014-03-19,181.0,109.0,106.0,126.0,110.0,97.0,78.0,52.0,44.0,61.0
310620,Belo Horizonte,2014-03-26,189.0,181.0,109.0,106.0,126.0,110.0,97.0,78.0,52.0,44.0
230440,Fortaleza,2014-03-26,80.0,44.0,55.0,51.0,62.0,68.0,53.0,61.0,51.0,39.0
355030,São Paulo,2014-03-26,1385.0,846.0,615.0,379.0,301.0,227.0,101.0,100.0,58.0,59.0
355030,São Paulo,2014-04-02,2178.0,1385.0,846.0,615.0,379.0,301.0,227.0,101.0,100.0,58.0
230440,Fortaleza,2014-04-02,62.0,80.0,44.0,55.0,51.0,62.0,68.0,53.0,61.0,51.0
310620,Belo Horizonte,2014-04-02,170.0,189.0,181.0,109.0,106.0,126.0,110.0,97.0,78.0,52.0
355030,São Paulo,2014-04-09,2671.0,2178.0,1385.0,846.0,615.0,379.0,301.0,227.0,101.0,100.0
230440,Fortaleza,2014-04-09,137.0,62.0,80.0,44.0,55.0,51.0,62.0,68.0,53.0,61.0
310620,Belo Horizonte,2014-04-09,205.0,170.0,189.0,181.0,109.0,106.0,126.0,110.0,97.0,78.0
310620,Belo Horizonte,2014-04-16,198.0,205.0,170.0,189.0,181.0,109.0,106.0,126.0,110.0,97.0
230440,Fortaleza,2014-04-16,89.0,137.0,62.0,80.0,44.0,55.0,51.0,62.0,68.0,53.0
355030,São Paulo,2014-04-16,3657.0,2671.0,2178.0,1385.0,846.0,615.0,379.0,301.0,227.0,101.0
310620,Belo Horizonte,2014-04-23,196.0,198.0,205.0,170.0,189.0,181.0,109.0,106.0,126.0,110.0
355030,São Paulo,2014-04-23,5073.0,3657.0,2671.0,2178.0,1385.0,846.0,615.0,379.0,301.0,227.0
230440,Fortaleza,2014-04-23,91.0,89.0,137.0,62.0,80.0,44.0,55.0,51.0,62.0,68.0
310620,Belo Horizonte,2014-04-30,206.0,196.0,198.0,205.0,170.0,189.0,181.0,109.0,106.0,126.0
230440,Fortaleza,2014-04-30,92.0,91.0,89.0,137.0,62.0,80.0,44.0,55.0,51.0,62.0
355030,São Paulo,2014-04-30,4308.0,5073.0,3657.0,2671.0,2178.0,1385.0,846.0,615.0,379.0,301.0
310620,Belo Horizonte,2014-05-07,184.0,206.0,196.0,198.0,205.0,170.0,189.0,181.0,109.0,106.0
230440,Fortaleza,2014-05-07,119.0,92.0,91.0,89.0,137.0,62.0,80.0,44.0,55.0,51.0
355030,São Paulo,2014-05-07,3799.0,4308.0,5073.0,3657.0,2671.0,2178.0,1385.0,846.0,615.0,379.0
310620,Belo Horizonte,2014-05-14,103.0,184.0,206.0,196.0,198.0,205.0,170.0,189.0,181.0,109.0
